content_cleaned,score,thumbsUpCount,content_length,word_count,has_reply,sentiment,sentiment_encoded
mutasi rekening tidak lengkap tidak transparan biaya pembuatan kartu biaya adm bulanan tidak dimunculkan serta transaksi lainnya juga ada yg tidak tercatat jam transaksi juga tidak ditampilkan,1,0,192,27,1,Negatif,0
makin sering bug seringkali gabisa login dengan alasan yang ga jelas,1,0,68,11,1,Negatif,0
kepada pihak bank bca yang terhormat kenapa hoby bngt ngeblokir padahal tidak pernah melakukan kesalahan dan ini sangat mengganggu usaha sya soalnya tidak bisa digunakan buat transaksi terus pas nelpon cs pelayanannya tidak memuaskan terkesan ga ikhlas melayaninya apa mau saya spill nama cs nya mungkin itu aja sedikit ungkapan kekecewaan saya,1,0,344,52,1,Negatif,0
bagus tpi susah di buka tolong di perbaiki,5,0,42,8,1,Netral,1
sangat bagus mudah gampang mau transaksi pembayaran apapun mudah cepat,5,0,70,10,1,Positif,2
dulu saya membanggakan banget bca skrg bca mobile nyari signal hijau harus sampai x login kalau dulu gak begini udah jelek sekarang bcao,1,0,136,23,1,Positif,2
masa iyaa hari gk bisa transaksi selalu terjadi kesalahan,2,0,57,9,1,Negatif,0
sangat membantu akses mbanking sy,5,0,33,5,1,Positif,2
siip,5,0,4,1,1,Negatif,0
ok,5,0,2,1,1,Positif,2
buka aplikasi selalu error dengan alasan yang tidak jelas,2,0,57,9,1,Negatif,0
oh my bca kalau bisa riwayat pengiriman terakan tangal dan waktu jgn seperti disembunyikan buat lah rekening koran yg simpel uang keluar dan masuk yg gampang aja untuk dipahami,1,0,176,29,1,Netral,1
transaksi paling aman,5,0,21,3,1,Positif,2
error,3,0,5,1,1,Negatif,0
apk jelek masa id dh bener tafi gk bisa masuk,2,0,45,10,1,Negatif,0
kenapa aplikasi ini ketika membuka rekening baru ditahap scroll tidak bisa menscroll,5,0,84,12,1,Negatif,0
tolong pihak mybca saya baru buat mybca udah jadi tapi habis di topup ga masuk tolong etitud baiknya pihak bca udah beberapa jam ga masuk,1,0,137,25,1,Netral,1
ga jelas bca duit gua cuma rb nyangkut di atm ga dibalikin sampe skrg dr tgl lama bgt balikin duit gua doang kaya mau ngajuin pinjeman aja padahal yg gua minta duit gua kl pun mesinnya bermasalah ya urusan lu ga sih bukan gua yg harus ngertiin lu masa iya uang aja susah bgt najis bgt ampun deh bca bca,1,0,302,60,1,Negatif,0
bulan mempermudah tapi mempersulit,1,0,34,4,1,Negatif,0
kenapa saldo saya berkurang rb setelah buat kartu katanya biaya admin rb total saya masukan uang rb ehh minggu kemudian jadi rb ini saya di rampok ih katanya buat nabung jadi nimbrung gimana nih,1,0,194,34,1,Negatif,0
ini gimna aplikasinya mau di pindah hp kok malah gx bisa dan gimna cara masuk lagi gimna dengan saldo nya,5,0,105,20,1,Netral,1
kenapa sering terjadi kesalahan pdhl wifi lancar trus sinyal mendukung jd nya susah klu mau transaksinya,2,0,104,16,1,Negatif,0
sering update dan lampu merah terus saat transaksi pdhl sinyal bgs,2,0,66,11,1,Negatif,0
aman terpercaya,5,0,15,2,1,Positif,2
burukk segini bank ternama di indonesia ttpi mbking tidak bisa di gunakan udh tau org mau bekerja gajelas aplikasi kebanyakan ngebug,5,0,132,21,1,Negatif,0
eror gabisa di buka abis update,1,0,31,6,1,Negatif,0
sangat bagus saya suka sekali dengan mybca,5,0,42,7,1,Positif,2
good,5,0,4,1,1,Positif,2
best,5,0,4,1,1,Positif,2
my bca saya eror pas masuk menu my bca ada tulisan sedang dalam proses terus,1,0,76,15,1,Negatif,0
aplikasi ini sangat membantu saya,5,0,33,5,1,Positif,2
mau coba fitur program suruh update dulu padahal di google play store tida ada update,3,0,85,15,1,Netral,1
apa ini bisa membatu saya,2,0,25,5,1,Netral,1
gajelas bgt mau login harus verifikasi muka trs udh bener sesuai instruksi tp malah gagal terus,1,0,95,16,1,Negatif,0
qris sering eror,1,0,16,3,1,Negatif,0
saat minta kode otp lama masuk kode otp padahal pulsa saya mencukupi,3,0,68,12,1,Netral,1
bagus tampilanya semoga lebih baik lagi,5,0,39,6,1,Positif,2
kalo ada pengeluaran untuk pemeliharaan akun tolong kasih tau dong jangan tiba tiba saldonya kepotong sendiri tanpa ada pemberitahuan,5,0,133,19,1,Netral,1
tolong banget ini kenapa suka ke logout sendiri terus akhirnya keblokir lagi keblokir lagi tolong perbaiki,3,0,106,16,1,Negatif,0
good,5,0,4,1,1,Positif,2
mungkin bisa ditambahkan fitur saving yaa yang bisa langsung dipotong dari rekening itu membantu banget karena selama ini repot pindahin dana ke app lain mungkin bisa dipertimbangkan,5,0,182,27,1,Positif,2
sering banget akun kena blokir karna toleransi untuk memasukkan password hanya kali tolong ditambahkan jadi setidaknya,1,0,118,16,1,Negatif,0
review lama riweh sekali mau daftar doang padahal udah bikin akun segala rupa udah ada id nya password juga bener tolong ini ya apa solusinya review baru coba terus guys bisa kok harus sabar,5,0,190,34,1,Negatif,0
bisa diperbaiki terkait otp yang dikirimkan melalui sms pulsa sudah terpotong tapi tidak menerima kode otp,5,0,106,16,1,Netral,1
vermuk gagal terus padahal selalu pas di lingkaran dan sesuai instruksi,1,0,71,11,1,Negatif,0
aduh verifikasi otp nya masih minta pulsa pengguna tolong di perbaiki menu nya sudah bagus mudah,5,0,96,16,1,Negatif,0
kenapa ya udh regist pas login verif nomer dan isi rekening trs tp ga kebuka,3,0,76,15,1,Netral,1
sangat cocok,5,0,12,2,1,Positif,2
gmana yah pake bca mobile gk bisa login selalu di persulit mulu,1,0,63,12,1,Negatif,0
mohon dikurangi adminnya setelah bayar tagihan atau bayar makanan minuman,5,0,73,10,1,Netral,1
iya saya mesetujui nya,5,0,22,4,1,Netral,1
tahun terakhir saya februari aplikasinya tidak bisa buka sekarang udh oktober tahun mau login diminta kode negara tapi dlm opsi tidak ada pilihan negara indonesia kode dapat respon arahan diminta kode no hp terus centang baru button bisa diklik tanpa kode button tak bisa diklik mau bagaimana lagi udh akhir tahun masalah apps ini gak kelar ampunlah memilih opsi perpanjangan otomatis app bagai penjarakan duitku,1,2,412,65,1,Negatif,0
apk tolol mau dipake urgent malah stuck,1,0,39,7,1,Negatif,0
bca selalu dihati thanks bca,5,0,28,5,1,Positif,2
masih terjadi masalah saya daftar bca daritadi sudah habis pulsa berapa masih belum bisa tadi suruh pake data masih gabisa,2,0,122,20,1,Netral,1
saya mau buat akun tidak bisa sudah isi data tp gak bisa masuk mau log in isi data lagi terakhir keterangannya harus ke atm dulu ini gmn,3,0,136,27,1,Negatif,0
tolong untuk pembayaran virtual account supaya bisa dkasih catatan agar mempermudah untuk mengecek riwayat pembayaran dan semoga bisa tambah rekening dalam satu akun seperti aplikasi brimo,4,0,188,26,1,Netral,1
puas,5,0,4,1,1,Positif,2
mau transfer ke bank multi arta sentosa mas kok gak ada di daftar tujuan transfer ya ini memang tidak update atau bagaimana,4,0,123,22,1,Negatif,0
kode otp nya lama sekali sampai bosan nunggu nya,3,0,48,9,1,Negatif,0
siiiiiiipppppp,5,0,14,1,1,Positif,2
ok,5,0,2,1,1,Negatif,0
bagus sekali,5,0,12,2,1,Positif,2
setiap melakukan transaksi sinyal lancar akan tetapi selalu kendala saat masukan pin transaksi terkahir sehingga sering gagal kejadian tidak x beberapa hari ini sering terjadi seperti itu terima kasih,3,0,200,29,1,Negatif,0
update telat yang di mi store,4,0,29,6,1,Netral,1
nyambung ke merchant bca banyak potongannya belum apa apa sudah hilang gilak,1,0,76,12,1,Negatif,0
bagus,5,0,5,1,1,Positif,2
mantap,5,0,6,1,1,Positif,2
